stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
26,0.5,3.0,31.382842600000004,,31.37675249999984,31.382842600000004,31.869383599999992,31.869383599999992,31.869383599999992,32.160944900000004,32.25137959999984,left,-3.0,1,1,0.3786528000000544,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
27,0.5,2.5,32.258342500000026,,32.25152259999982,32.258342500000026,32.744220999999925,32.744220999999925,32.744220999999925,33.03570179999997,33.0705997,right,2.5,1,1,0.3212511000001541,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
28,0.5,2.5,33.0779086,,33.07072040000003,33.0779086,33.56437199999982,33.56437199999982,33.56437199999982,33.85610869999982,34.303364599999895,left,-2.5,0,0,0.7380192000000534,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
29,0.5,3.0,34.31558649999988,,34.30350609999982,34.31558649999988,34.79409969999983,34.79409969999983,34.79409969999983,35.08569949999992,35.543454599999905,right,3.0,1,1,0.7480651000000762,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
30,0.5,3.0,35.54959399999984,,35.54357429999982,35.54959399999984,36.03615059999993,36.03615059999993,36.03615059999993,36.327264399999876,36.60627149999982,left,-3.0,0,0,0.5696671000000606,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
31,0.5,3.5,36.61209999999983,,36.60639949999995,36.61209999999983,37.099058199999945,37.099058199999945,37.099058199999945,37.390246899999966,37.73744459999989,right,3.5,0,0,0.633207000000084,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
32,0.5,4.0,37.7444782,,37.73756289999983,37.7444782,38.23066159999985,38.23066159999985,38.23066159999985,38.52248489999988,38.66881279999984,right,4.0,0,0,0.4362321000000975,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
33,0.5,4.5,38.674592200000006,,38.66892849999999,38.674592200000006,39.16103599999997,39.16103599999997,39.16103599999997,39.45237399999996,39.744450700000016,right,4.5,0,0,0.5787451000001056,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
34,0.5,5.0,39.750958299999866,,39.74456609999993,39.750958299999866,40.23744539999984,40.23744539999984,40.23744539999984,,40.39060759999984,right,5.0,0,0,0.15141769999991084,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
35,0.5,5.5,40.39718199999993,,40.39072169999986,40.39718199999993,40.898541699999896,40.898541699999896,40.898541699999896,41.19150659999991,41.289362900000015,right,5.5,0,0,0.3896287999998549,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
36,0.5,6.0,41.3022755999998,,41.28953309999997,41.3022755999998,41.78073889999996,41.78073889999996,41.78073889999996,42.070343200000025,42.26542069999982,right,6.0,0,0,0.47710029999984727,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
37,0.5,6.5,42.27180750000002,,42.265569899999946,42.27180750000002,42.75791570000001,42.75791570000001,42.75791570000001,43.050081799999816,43.091494699999885,right,6.5,0,0,0.3293183000000681,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
38,0.5,7.0,43.09831989999998,,43.09163719999992,43.09831989999998,43.58430039999985,43.58430039999985,43.58430039999985,43.87618859999998,44.459393599999885,left,-7.0,1,1,0.8711106999999174,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
39,0.5,7.0,44.466083000000026,,44.459513300000026,44.466083000000026,44.952721799999836,44.952721799999836,44.952721799999836,,45.19558659999984,right,7.0,0,0,0.24054809999984172,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
40,0.5,7.5,45.202599499999906,,45.19571099999985,45.202599499999906,45.68845049999982,45.68845049999982,45.68845049999982,45.980068399999936,46.06352029999994,left,-7.5,1,1,0.37057320000008076,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
41,0.5,7.5,46.07072529999982,,46.063637799999924,46.07072529999982,46.55631870000002,46.55631870000002,46.55631870000002,46.847954999999956,46.94541159999994,left,-7.5,0,0,0.3886363999999958,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
42,0.5,8.0,46.952583199999935,,46.94559959999992,46.952583199999935,47.447215599999936,47.447215599999936,47.447215599999936,47.736568399999896,48.04271010000002,right,8.0,0,0,0.5899785999999949,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
43,0.5,8.5,48.04925529999991,,48.042858199999955,48.04925529999991,48.535409699999946,48.535409699999946,48.535409699999946,48.827722300000005,48.972987299999886,left,-8.5,1,1,0.4315791999999874,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
44,0.5,8.5,48.98035699999991,,48.973102100000006,48.98035699999991,49.46594099999993,49.46594099999993,49.46594099999993,49.75775009999984,50.02250600000002,right,8.5,0,0,0.5545764999999392,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
45,0.5,9.0,50.02888259999986,,50.02262729999984,50.02888259999986,50.51460569999995,50.51460569999995,50.51460569999995,50.80597130000001,51.93126280000001,right,9.0,1,1,1.4131519999998545,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
46,0.5,9.0,51.938515699999925,,51.9313881999999,51.938515699999925,52.42399929999988,52.42399929999988,52.42399929999988,,52.612381899999946,left,-9.0,0,0,0.18238069999983963,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
47,0.5,9.5,52.61854819999985,,52.61249439999983,52.61854819999985,53.10610909999991,53.10610909999991,53.10610909999991,53.39812639999991,53.50901909999993,right,9.5,0,0,0.39684859999988475,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
48,0.5,10.0,53.51581149999993,,53.50915620000001,53.51581149999993,54.000438299999814,54.000438299999814,54.000438299999814,,54.216536700000006,right,10.0,1,1,0.2132469000000583,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
49,0.5,10.0,54.222774099999924,,54.216658299999835,54.222774099999924,54.70885969999995,54.70885969999995,54.70885969999995,55.00174179999999,55.009142299999894,right,10.0,1,1,0.29812109999988934,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
50,0.5,10.0,55.015576599999804,,55.0092924999999,55.015576599999804,55.50034229999983,55.50034229999983,55.50034229999983,55.792984499999875,55.87575649999985,left,-10.0,0,0,0.37229389999993145,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
51,0.5,10.5,55.88286259999995,,55.87587119999989,55.88286259999995,56.36893579999992,56.36893579999992,56.36893579999992,56.660049999999956,56.71652129999984,right,10.5,0,0,0.34570320000011634,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
52,0.5,11.0,56.722684999999956,,56.71664529999998,56.722684999999956,57.20929009999986,57.20929009999986,57.20929009999986,57.50070919999985,57.945109799999955,right,11.0,0,0,0.7317127000001165,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
53,0.5,11.5,57.95219580000003,,57.9452675,57.95219580000003,58.43786049999994,58.43786049999994,58.43786049999994,58.72954549999986,59.17452049999997,right,11.5,0,0,0.7346712999999454,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
54,0.5,12.0,59.181402400000024,,59.174640099999806,59.181402400000024,59.66719330000001,59.66719330000001,59.66719330000001,,59.84823329999995,right,12.0,0,0,0.17914690000020528,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
55,0.5,12.5,59.85451699999999,,59.84834839999985,59.85451699999999,60.34103549999986,60.34103549999986,60.34103549999986,,60.493999599999825,left,-12.5,1,1,0.14986799999996947,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
56,0.5,12.5,60.50076009999998,,60.49412849999999,60.50076009999998,60.98773419999998,60.98773419999998,60.98773419999998,61.27816209999992,61.3343640999999,right,12.5,0,0,0.3407932999998593,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
57,0.5,13.0,61.34094469999991,,61.334491899999875,61.34094469999991,61.82719279999992,61.82719279999992,61.82719279999992,,61.9249605,right,13.0,1,1,0.09617479999997158,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
58,0.5,13.0,61.93064229999982,,61.92507669999986,61.93064229999982,62.41717689999996,62.41717689999996,62.41717689999996,62.70874439999989,62.70248329999981,right,13.0,0,0,0.2784696000001077,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
59,0.5,13.5,62.70874439999989,,62.70259779999992,62.70874439999989,63.19479299999989,63.19479299999989,63.19479299999989,63.486764300000004,63.5428488,right,13.5,1,1,0.34068600000000515,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
60,0.5,13.5,63.54919699999982,,63.54296709999994,63.54919699999982,64.03494479999995,64.03494479999995,64.03494479999995,64.3267120999999,64.5498169,right,13.5,1,1,0.5074315999997907,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
61,0.5,13.5,64.55571269999996,,64.54993999999988,64.55571269999996,65.04251799999997,65.04251799999997,65.04251799999997,65.33347409999988,66.05701379999982,right,13.5,1,1,1.0139225000000351,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
62,0.5,13.0,66.0625344,,66.05716889999985,66.0625344,66.5488143,66.5488143,66.5488143,,66.77872919999982,left,-13.0,0,0,0.2244680999999673,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
63,0.5,13.5,66.78477120000002,,66.77888639999992,66.78477120000002,67.27104050000003,67.27104050000003,67.27104050000003,67.56249029999981,67.72323899999992,left,-13.5,0,0,0.45181830000001355,Subject 1,"001",2025-09-02_14h00.31.563,adaptive_staircase,,2025.2.0,143.77835129366915,2025-09-02 14h00.31.596897 +0530,
